subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification
MONDO:0000001	disease	skos:exactMatch	Orphanet:377788	Disease	semapv:UnspecifiedMatching
MONDO:0000005	alopecia, isolated	skos:exactMatch	OMIMPS:203655	Alopecia, isolated	semapv:UnspecifiedMatching
MONDO:0000009	inherited bleeding disorder, platelet-type	skos:exactMatch	OMIMPS:231200	Bleeding disorder, platelet-type	semapv:UnspecifiedMatching
MONDO:0000023	infantile liver failure	skos:exactMatch	OMIMPS:615438	Infantile liver failure syndrome	semapv:UnspecifiedMatching
MONDO:0000023	infantile liver failure	skos:exactMatch	Orphanet:464724	Fever-associated acute infantile liver failure syndrome	semapv:UnspecifiedMatching
MONDO:0000030	sleep-related hypermotor epilepsy	skos:exactMatch	OMIMPS:600513	Epilepsy, nocturnal frontal lobe	semapv:UnspecifiedMatching
MONDO:0000032	febrile seizures, familial	skos:exactMatch	OMIMPS:121210	Seizures, familial febrile	semapv:UnspecifiedMatching
MONDO:0000044	hereditary hypophosphatemic rickets	skos:exactMatch	OMIMPS:193100	Hypophosphatemic rickets	semapv:UnspecifiedMatching
MONDO:0000044	hereditary hypophosphatemic rickets	skos:exactMatch	Orphanet:437	Hypophosphatemic rickets	semapv:UnspecifiedMatching
MONDO:0000045	hypothyroidism, congenital, nongoitrous	skos:exactMatch	OMIMPS:275200	Hypothyroidism, congenital, nongoitrous	semapv:UnspecifiedMatching
MONDO:0000049	obsolete invasive pneumococcal disease, recurrent isolated	skos:exactMatch	OMIMPS:610799		semapv:UnspecifiedMatching
MONDO:0000050	isolated congenital growth hormone deficiency	skos:exactMatch	OMIMPS:262400	Isolated growth hormone deficiency	semapv:UnspecifiedMatching
MONDO:0000050	isolated congenital growth hormone deficiency	skos:exactMatch	Orphanet:631	Non-acquired isolated growth hormone deficiency	semapv:UnspecifiedMatching
MONDO:0000062	isolated microphthalmia	skos:exactMatch	OMIMPS:251600	Microphthalmia, isolated	semapv:UnspecifiedMatching
MONDO:0000065	microvascular complications of diabetes, susceptibility	skos:exactMatch	OMIMPS:603933	Microvascular complications of diabetes	semapv:UnspecifiedMatching
MONDO:0000070	Mycobacterium tuberculosis, susceptibility	skos:exactMatch	OMIM:607948	mycobacterium tuberculosis, susceptibility to	semapv:UnspecifiedMatching
MONDO:0000079	nephrolithiasis/osteoporosis, hypophosphatemic	skos:exactMatch	OMIMPS:612286	Nephrolithiasis/osteoporosis, hypophosphatemic	semapv:UnspecifiedMatching
MONDO:0000087	polymicrogyria	skos:exactMatch	Orphanet:35981	Polymicrogyria	semapv:UnspecifiedMatching
MONDO:0000088	precocious puberty	skos:exactMatch	Orphanet:95708	Rare precocious puberty	semapv:UnspecifiedMatching
MONDO:0000090	progressive external ophthalmoplegia with mitochondrial DNA deletions	skos:exactMatch	OMIMPS:157640	Progressive external ophthalmoplegia with mtDNA deletions	semapv:UnspecifiedMatching
MONDO:0000104	anemia, hypochromic microcytic with iron overload	skos:exactMatch	OMIMPS:206100	Anemia, hypochromic microcytic, with iron overload	semapv:UnspecifiedMatching
MONDO:0000107	auriculocondylar syndrome	skos:exactMatch	OMIMPS:602483	Auriculocondylar syndrome	semapv:UnspecifiedMatching
